estimate,reserve_group,owner_group,forest_group,ref_unit,agerange
213563.478180928,R,OF,HW,North Coast,AGEID8
226799.705347711,R,FS,HW,North Interior,AGEID17
286052.545361388,R,FS,MC,North Interior,AGEID14
313711.126145,NR,FS,HW,Central Coast,AGEID999
417721.793957652,R,FS,DF,North Coast,AGEID5
1705602.7899076,NR,FS,OS,North Interior,AGEID7
3322443.01270443,NR,FS,MC,North Interior,AGEID13
79762.9646521593,NR,PR,OS,Sacramento,AGEID19
545122.190925916,R,SLPub,HW,North Coast,AGEID5
409173.677845142,R,FS,OS,San Joaquin,NOAGE
352755.541059035,R,FS,OS,Sacramento,AGEID11
535358.202113535,R,FS,OS,North Interior,AGEID14
417174.065920837,R,FS,OS,North Interior,AGEID9
2926242.48788097,NR,PR,RW,North Coast,AGEID6
1755557.94274295,NR,FS,HW,North Interior,AGEID13
1142132.1885481,R,FS,OS,North Interior,AGEID8
309087.557554159,NR,FS,HW,North Coast,AGEID7
273371.317677172,R,OF,MC,San Joaquin,NOAGE
263896.11580601,R,OF,HW,North Interior,AGEID8
189966.900996018,NR,FS,MC,San Joaquin,AGEID20
416820.986024366,NR,OF,MC,North Interior,AGEID7
1302916.97186006,NR,FS,PP,Sacramento,AGEID4
234871.095550134,R,FS,MC,North Coast,AGEID8
96601.1215197867,NR,PR,MC,San Joaquin,AGEID13
163238.818306681,R,SLPub,OS,San Joaquin,AGEID11
205028.488257879,R,OF,HW,San Joaquin,NOAGE
202728.133100465,R,FS,HW,North Coast,AGEID9
449222.562392999,NR,OF,HW,North Interior,AGEID7
885355.529223311,R,OF,MC,North Interior,AGEID9
685163.179976265,R,FS,HW,North Coast,AGEID8
103822.087584843,NR,PR,OS,North Coast,AGEID20
252879.198629509,NR,FS,HW,San Joaquin,AGEID20
184161.018369029,R,OF,HW,North Coast,AGEID6
169527.324976589,R,OF,DF,North Coast,AGEID5
123286.281855384,NR,FS,PP,North Interior,AGEID15
283069.033888898,NR,PR,HW,Southern,NOAGE
726035.465936312,NR,FS,NS,Southern,AGEID0
234401.50298597,R,FS,OS,North Coast,AGEID14
253045.864926919,NR,PR,RW,North Coast,AGEID17
3264266.8508743,NR,FS,PP,North Interior,AGEID10
416389.28539498,NR,PR,MC,San Joaquin,AGEID7
56380.4697832929,NR,FS,PP,Sacramento,AGEID16
1033387.97032572,R,FS,NS,North Interior,AGEID0
219869.90376407,R,FS,PP,Southern,AGEID10
2076697.77760153,NR,PR,RW,North Coast,AGEID8
157140.007245527,R,OF,OS,North Interior,AGEID9
237230.498368986,NR,PR,RW,North Coast,AGEID14
2266241.80869914,NR,PR,RW,North Coast,AGEID9
767162.387864619,NR,PR,HW,San Joaquin,AGEID7
193910.736530355,NR,FS,OS,North Coast,AGEID7
415322.450549276,R,FS,OS,North Interior,AGEID6
1367338.39320537,R,OF,MC,San Joaquin,AGEID15
71556.6924822836,NR,SLPub,HW,Central Coast,AGEID13
1316958.00011957,NR,FS,OS,San Joaquin,AGEID18
348816.734176346,NR,PR,HW,North Coast,AGEID18
402987.560974643,R,FS,PP,San Joaquin,AGEID13
1720966.62251306,R,OF,MC,San Joaquin,AGEID10
87658.9623526104,R,SLPub,MC,Southern,AGEID999
1331210.6548697,NR,PR,PP,North Interior,AGEID6
764269.267981855,NR,PR,PP,Sacramento,AGEID2
202757.306789614,R,OF,HW,San Joaquin,AGEID15
253410.166375582,NR,FS,DF,North Interior,AGEID999
296658.949465591,NR,PR,HW,Sacramento,AGEID999
353808.531468721,R,OF,HW,San Joaquin,AGEID10
1055048.92000333,NR,FS,PP,Sacramento,AGEID5
995240.295611019,R,OF,OS,San Joaquin,AGEID10
429159.443637371,NR,PR,OS,Sacramento,AGEID999
989487.798600351,NR,FS,MC,San Joaquin,AGEID18
192199.91482448,R,FS,PP,San Joaquin,AGEID7
1752316.78624704,R,OF,OS,San Joaquin,AGEID15
200711.691020142,R,SLPub,MC,Sacramento,AGEID10
1063486.30883888,NR,FS,PP,San Joaquin,AGEID8
251691.833215744,R,SLPub,HW,Sacramento,AGEID15
1108957.40275809,NR,PR,DF,North Coast,AGEID3
252766.114223205,NR,PR,MC,Southern,AGEID10
652970.936338858,NR,FS,PP,San Joaquin,AGEID9
194620.441684953,NR,FS,HW,San Joaquin,AGEID18
421794.991355314,R,SLPub,HW,Central Coast,AGEID8
253045.864926919,NR,PR,DF,North Coast,AGEID12
481094.179921805,R,FS,DF,North Coast,AGEID8
53894.6688996848,R,OF,OS,North Coast,AGEID5
253045.864926919,R,SLPub,HW,North Coast,AGEID9
609452.359329343,R,FS,OS,San Joaquin,AGEID11
124413.128557876,R,FS,DF,North Coast,AGEID14
115280.684664464,R,OF,OS,San Joaquin,AGEID2
404989.630108791,R,FS,DF,North Coast,AGEID9
117200.751492985,R,FS,OS,San Joaquin,AGEID1
226149.86733437,R,FS,OS,North Interior,AGEID5
573704.809381499,NR,PR,PP,North Interior,AGEID4
323631.053923683,NR,PR,PP,North Interior,AGEID16
271523.821408026,R,FS,HW,Sacramento,NOAGE
978205.922388782,R,FS,MC,San Joaquin,AGEID11
234600.95833743,R,FS,HW,San Joaquin,AGEID1
8144.22522386681,R,OF,HW,San Joaquin,AGEID2
305739.298459413,R,OF,HW,North Coast,AGEID5
287861.76920774,R,OF,PP,San Joaquin,AGEID999
1079831.4200622,NR,PR,PP,Sacramento,AGEID10
238171.155464788,NR,FS,MC,San Joaquin,AGEID3
916705.229389371,NR,FS,PP,North Interior,AGEID2
72349.9158553211,NR,FS,PP,Sacramento,AGEID6
253045.864926919,NR,PR,RW,Central Coast,AGEID8
696150.425856746,R,FS,MC,Southern,AGEID999
