totage,drybio_bole
60,43.10592
36,43.107293
46,43.107293
19,43.124141
53,43.130792
85,43.152301
52,43.258176
56,43.35084
44,43.368499
57,43.368499
66,43.377235
52,43.377235
61,43.377235
61,43.377235
19,43.397078
46,43.546564
91,43.59576
56,43.59576
50,43.59576
60,43.650048
61,43.66153
56,43.66153
51,43.84068
98,43.958018
26,43.978147
21,44.015462
76,44.12334
60,44.195674
51,44.24759
46,44.33052
47,44.405676
48,44.413574
26,44.413574
29,44.413574
70,44.468486
80,44.468486
67,44.468486
40,44.488829
59,44.540621
56,44.57544
32,44.648648
68,44.700115
71,44.741299
56,44.748909
51,44.833651
56,44.833651
36,44.849002
41,44.903561
18,44.976947
49,45.014112
54,45.034704
80,45.034704
65,45.06528
46,45.06528
37,45.08791
43,45.126682
37,45.126682
30,45.264061
36,45.284429
71,45.286925
41,45.286925
71,45.286925
18,45.307642
41,45.3102
47,45.3102
61,45.419712
61,45.419712
49,45.422376
80,45.469303
77,45.55512
64,45.559738
46,45.559738
31,45.633544
47,45.682423
36,45.719856
44,45.772646
66,45.772646
64,45.831427
42,45.83255
55,45.83255
35,45.853517
20,45.961843
31,45.991325
61,46.005773
51,46.04496
41,46.04496
56,46.04496
58,46.105363
50,46.105363
33,46.126454
46,46.142054
32,46.155283
75,46.28988
56,46.298803
27,46.3084
48,46.378176
36,46.507805
32,46.59071
30,46.591834
42,46.64425
65,46.650989
55,46.650989
45,46.77972
57,46.805545
31,46.859086
67,46.884864
57,46.923802
11,46.945267
26,46.94674
27,47.007218
71,47.02464
43,47.02464
45,47.02464
36,47.026138
32,47.026138
37,47.177894
60,47.196614
61,47.196614
29,47.218205
14,47.218205
62,47.26956
75,47.26956
52,47.461565
31,47.461565
42,47.461565
52,47.461565
27,47.461565
64,47.469427
23,47.470925
27,47.491813
56,47.491813
58,47.56752
65,47.583994
44,47.603338
67,47.664362
57,47.672142
46,47.726847
69,47.74224
36,47.7594
55,47.7594
90,47.7594
66,47.7594
40,47.76408
49,47.850218
73,47.872381
36,47.896992
41,47.896992
41,48.00432
101,48.00432
51,48.00432
77,48.015053
40,48.015053
71,48.015053
67,48.056986
87,48.109501
42,48.118973
55,48.24924
18,48.259935
80,48.287866
66,48.315571
26,48.332419
31,48.350016
36,48.350016
69,48.49416
57,48.504035
15,48.582893
43,48.582893
32,48.594608
22,48.643046
21,48.643046
71,48.737545
41,48.767846
37,48.767846
36,48.767846
37,48.767846
52,48.788813
74,48.936077
52,48.936077
42,48.952588
55,48.984
76,48.984
57,48.999475
68,49.025933
56,49.106304
75,49.106304
61,49.106304
110,49.128768
85,49.128768
27,49.17276
32,49.203274
35,49.22892
41,49.22892
67,49.229107
50,49.229107
38,49.320723
47,49.330801
36,49.330944
71,49.379117
50,49.379117
61,49.379117
47,49.381997
37,49.381997
48,49.470318
76,49.47384
27,49.573131
41,49.638701
60,49.65193
37,49.811406
60,49.815168
57,49.858938
32,49.896249
36,49.896249
33,49.90143
87,49.924174
57,49.924742
25,49.947581
40,49.947581
26,50.074128
27,50.074128
51,50.074128
55,50.179484
55,50.197555
33,50.197555
36,50.197555
70,50.197555
70,50.197555
41,50.2086
64,50.2086
37,50.225314
17,50.229729
37,50.229729
29,50.229729
37,50.240814
42,50.296297
42,50.296297
68,50.296297
46,50.349911
26,50.470368
39,50.493456
32,50.509555
77,50.670223
50,50.694259
60,50.69844
35,50.69844
45,50.743181
19,50.766394
33,50.766394
15,50.766394
69,50.813751
22,50.886326
31,50.922144
35,50.933376
57,50.94336
37,50.944982
37,50.944982
31,50.944982
37,50.944982
52,50.944982
106,50.957592
76,51.015994
44,51.039331
61,51.044648
37,51.099632
42,51.099632
87,51.099632
47,51.171015
100,51.18828
23,51.214625
46,51.28032
75,51.288806
24,51.36112
23,51.36112
31,51.36112
70,51.367081
37,51.38041
73,51.4332
33,51.4332
55,51.561619
46,51.561619
49,51.561619
73,51.57335
37,51.57335
44,51.585206
95,51.598104
86,51.598104
77,51.608374
32,51.608374
47,51.67812
36,51.815837
51,51.834432
60,51.834432
80,51.834432
25,51.858144
85,51.858144
54,51.866381
38,51.871223
22,51.871223
71,51.909811
112,51.92304
57,51.959355
